               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  87,             0.92728,             0.51338,              1.3155,             0.85563,             0.81519,             0.88375,             0.65855,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.92086,             0.49823,              1.3102,             0.86988,             0.80076,             0.88412,             0.65797,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              0.9164,             0.48581,              1.3076,             0.88409,             0.79788,             0.88273,             0.65707,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.89881,             0.48068,               1.292,             0.85954,              0.8154,              0.8822,             0.65814,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.88891,             0.46819,               1.291,              0.8648,             0.81206,             0.88144,             0.65749,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.88169,              0.4604,              1.2818,             0.86554,             0.81096,             0.88119,             0.65771,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.86143,             0.44568,              1.2752,             0.86285,             0.81087,             0.88012,             0.65658,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.86545,              0.4507,               1.272,             0.85468,             0.81966,             0.87927,             0.65645,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.84442,             0.43109,              1.2578,             0.85018,             0.81932,             0.87924,             0.65551,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.83448,             0.42235,              1.2525,             0.86072,             0.81028,             0.87966,             0.65636,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.82614,              0.4167,              1.2527,             0.86879,             0.80055,             0.87941,             0.65569,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.81813,             0.41165,              1.2466,             0.87318,             0.79915,             0.87912,             0.65562,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.82018,             0.40902,              1.2413,             0.87579,             0.79688,             0.87928,             0.65594,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
